"","date","util"
"683",2015-10-30 17:33:00,5.068
"684",2015-11-02 05:03:00,2.508
"685",2015-11-01 19:48:00,9.932
"686",2015-11-02 15:13:00,1.284
"687",2015-10-30 17:23:00,6.484
"688",2015-10-29 09:43:00,0.952
"689",2015-10-31 13:03:00,1.558
"690",2015-11-02 04:23:00,2.71
"691",2015-10-29 17:43:00,4.508
"692",2015-10-31 17:03:00,5.75
"693",2015-10-28 23:33:00,14.248
"694",2015-10-31 01:53:00,15.152
"695",2015-10-29 04:38:00,2.584
"696",2015-10-30 20:48:00,16.152
"697",2015-10-29 06:58:00,1.034
"698",2015-10-30 15:03:00,3.21
